adapter,detected,detection_source,distance_error_m,est_forward_z,est_lateral_x,est_orientation,est_yaw_deg,gate_height_m,gate_width_m,gt_forward_z,gt_gate_yaw_canonical_deg,gt_gate_yaw_deg,gt_lateral_x,gt_orientation,lateral_error_m,mode,orientation_hint,orientation_ok,pose_present,step,track_yaw_deg,yaw_error_deg,yaw_sign_ok
holoocean,True,pnp,1.768,4.399,3.467,rotated_left,85.24,2.0,2.0,2.631,-45.0,-45.0,2.828,rotated_right,0.639,moving,rotated_left,False,True,4,45,49.76,False
holoocean,True,pnp,1.753,4.341,3.436,rotated_left,83.78,2.0,2.0,2.588,-45.0,-45.0,2.828,rotated_right,0.607,moving,rotated_left,False,True,5,45,51.22,False
holoocean,False,,,,,,,2.0,2.0,3.515,25.0,25.0,-1.69,rotated_left,,moving,,,,0,-25,,
holoocean,False,,,,,,,2.0,2.0,3.508,25.0,25.0,-1.69,rotated_left,,moving,,,,1,-25,,
holoocean,False,,,,,,,2.0,2.0,3.49,25.0,25.0,-1.69,rotated_left,,moving,,,,2,-25,,
holoocean,False,,,,,,,2.0,2.0,3.463,25.0,25.0,-1.69,rotated_left,,moving,,,,3,-25,,
holoocean,False,,,,,,,2.0,2.0,3.428,25.0,25.0,-1.69,rotated_left,,moving,,,,4,-25,,
holoocean,False,,,,,,,2.0,2.0,3.385,25.0,25.0,-1.69,rotated_left,,moving,,,,5,-25,,
holoocean,True,projective,0.571,2.148,-0.003,frontal,-2.52,2.0,2.0,2.718,45.0,45.0,-2.828,rotated_left,2.825,moving,frontal,False,False,0,-45,47.52,False
holoocean,True,projective,0.563,2.148,0.228,frontal,2.12,2.0,2.0,2.711,45.0,45.0,-2.828,rotated_left,3.057,moving,frontal,False,False,1,-45,42.88,True
holoocean,True,projective,0.546,2.148,0.218,frontal,2.38,2.0,2.0,2.693,45.0,45.0,-2.828,rotated_left,3.047,moving,frontal,False,False,2,-45,42.62,True
holoocean,True,projective,0.66,2.006,0.204,frontal,-6.87,2.0,2.0,2.666,45.0,45.0,-2.828,rotated_left,3.032,moving,rotated_right,False,False,3,-45,51.87,False
holoocean,False,,,,,,,2.0,2.0,2.631,45.0,45.0,-2.828,rotated_left,,moving,,,,4,-45,,
holoocean,False,,,,,,,2.0,2.0,2.588,45.0,45.0,-2.828,rotated_left,,moving,,,,5,-45,,
