epoch,train_mse,val_mse,val_mse_surge,val_mse_sway,val_mse_heave,val_mse_yaw
0,0.0029680270235985518,0.004425625782459974,0.011758762411773205,0.0027727822307497263,0.0007901915814727545,0.0023807662073522806
1,0.001013317727483809,0.0012120192404836416,0.0016361252637580037,0.0006280383677221835,0.0019955928437411785,0.0005883197882212698
2,0.0005004216218367219,0.000631263421382755,0.0011753701837733388,0.0003667186829261482,0.0006070070085115731,0.00037595737376250327
3,0.00034288608003407717,0.0005112048820592463,0.000980784185230732,0.0003508180961944163,0.0004943354288116097,0.0002188817597925663
4,0.00025887720403261483,0.00035655515966936946,0.0007479085470549762,0.00018407477182336152,0.00033833718043752015,0.0001559003139846027
5,0.00022749355412088335,0.0003275414928793907,0.0008499001269228756,0.000148709790664725,0.00017646812193561345,0.000135087946546264
6,0.00021239421039354056,0.0003383526927791536,0.0009327970910817385,0.00014445198758039623,0.00016194973431993276,0.00011421204544603825
7,0.00019690555927809328,0.0002712995046749711,0.0006644861423410475,0.0001387391530442983,0.00017571085481904447,0.00010626176663208753
8,0.00020174356177449226,0.0002983038721140474,0.0007878340547904372,0.00014471261238213629,0.00016205685096792877,9.861188300419599e-05
9,0.0001893751759780571,0.0002649454982019961,0.0006905226618982852,0.0001235805539181456,0.00012520019663497806,0.00012047864584019408
10,0.00018325031851418316,0.0002532405487727374,0.0005958141409792006,0.00013823546760249883,0.0001824009814299643,9.651154687162489e-05
11,0.00018020252173300833,0.0002547455078456551,0.0006784479483030736,0.0001022360593196936,0.00013498142652679235,0.00010331649536965415
12,0.00016922182112466544,0.00024658042821101844,0.0006488002254627645,0.0001071258302545175,0.000122535289847292,0.00010786034545162693
13,0.00016146180860232562,0.00022223079577088356,0.0005769669078290462,8.545403397874907e-05,0.00013118659262545407,9.531571413390338e-05
14,0.00015930866356939077,0.00021636634483002126,0.0005542329745367169,9.517031867289916e-05,0.0001329752994934097,8.308683754876256e-05
15,0.00018848573381546885,0.0002650636888574809,0.000746558012906462,9.854408563114703e-05,0.0001452686992706731,6.9883928517811e-05
16,0.00020056414359714836,0.00028744866722263396,0.0008628617506474257,9.91376000456512e-05,0.0001103692120523192,7.74261643528007e-05
17,0.00015635725867468864,0.00019699663971550763,0.0005277543095871806,8.867239375831559e-05,0.00010574438056210056,6.58154531265609e-05
18,0.00015104448539204895,0.0002103137521771714,0.0005407585413195193,0.00012824490841012448,0.00011829373397631571,5.395781045081094e-05
19,0.00017032372124958783,0.0002283693029312417,0.0006144468788988888,0.0001171467883978039,0.0001154129349743016,6.64705949020572e-05
20,0.00016342794697266072,0.00021256535546854138,0.0005421370733529329,0.00010823171032825485,0.00012856478861067444,7.132779865060002e-05
21,0.0001563335390528664,0.0002291061100549996,0.0005987852346152067,9.667891572462395e-05,0.00011907438602065668,0.00010188594023929909
22,0.00014005423872731626,0.0002162417076760903,0.0005966933094896376,0.0001127254799939692,8.156200055964291e-05,7.398608431685716e-05
23,0.00012477839482016861,0.00019105750834569335,0.0005271423142403364,7.73305946495384e-05,8.989749767351896e-05,6.985972868278623e-05
24,0.0001363551855320111,0.00020415510516613722,0.0005765272653661668,8.039180829655379e-05,8.04916926426813e-05,7.920959615148604e-05
25,0.00015402906865347177,0.00021660886704921722,0.0006388621986843646,7.643856224603951e-05,0.0001027380712912418,4.839673056267202e-05
26,0.0001341677998425439,0.00019633921328932047,0.0005438558291643858,8.365044777747244e-05,9.530122770229355e-05,6.254928302951157e-05
27,0.00014850414299871773,0.0001954005128936842,0.0005204008193686604,0.00010051817662315443,0.00011316618474666029,4.75168926641345e-05
28,0.00014873621694277972,0.00020261190365999937,0.0005821367376483977,7.870089029893279e-05,0.0001012417851598002,4.836820880882442e-05
29,0.00013630700414068997,0.00018986068607773632,0.0005266751395538449,8.548530604457483e-05,9.713145846035331e-05,5.015093847759999e-05
30,0.00012973282719030976,0.00020100206893403083,0.0005343565717339516,8.88221402419731e-05,0.00011480663670226932,6.602298526559025e-05
31,0.00011451466707512736,0.00016768019122537225,0.0004461575299501419,7.122783426893875e-05,8.923780114855617e-05,6.40977086732164e-05
32,0.00012024716124869883,0.00016471213893964887,0.0004598317318595946,6.92548492224887e-05,8.074296056292951e-05,4.901907595922239e-05
33,0.00014961117994971573,0.00018940100562758744,0.0005447831354103982,5.73687648284249e-05,0.00010911532444879413,4.633689968613908e-05
34,0.0001503596140537411,0.00023225184122566134,0.0007074754103086889,6.759819370927289e-05,0.00010685103916330263,4.7082776291063055e-05
35,0.00013218891399446875,0.0001909368293127045,0.000526579562574625,6.834857776993886e-05,0.00011503938003443182,5.377969137043692e-05
36,0.00012383451394271106,0.00017090531764551997,0.00048826425336301327,6.717403448419645e-05,8.925952715799212e-05,3.8923437386984006e-05
37,0.00011620640725595877,0.00017239215958397835,0.000520179106388241,6.0459711676230654e-05,7.095724140526727e-05,3.797262615989894e-05
38,0.00012674217578023672,0.00020399676577653736,0.0005866825813427567,7.112476305337623e-05,9.567842789692804e-05,6.250129081308842e-05
39,0.00013418254093267024,0.00019284446898382157,0.000595710938796401,5.9092599258292466e-05,6.704615225316957e-05,4.952820381731726e-05
40,0.00012116774450987577,0.00017470569582656026,0.0005137805710546672,5.4592972446698695e-05,9.32442198973149e-05,3.7205023545539007e-05
41,0.00011823425302281976,0.00016344236792065203,0.0004696145770139992,6.253573519643396e-05,8.339254418388009e-05,3.8226575270527974e-05
42,0.00011173359234817326,0.00016991356096696109,0.0004961570375598967,6.175274756969884e-05,8.354304736712947e-05,3.8201455026865005e-05
43,0.00010385186033090577,0.00015886629989836365,0.0004654487129300833,5.6192424381151795e-05,7.103263487806544e-05,4.2791412852238864e-05
44,0.00011404128599679098,0.00016050295380409807,0.00048712181160226464,5.134419188834727e-05,6.815294182160869e-05,3.539282624842599e-05
